"H1"||"H"||1||0|||46|||||0|0|0|0|0|0|100|100|100|100|100|100|85|87.5|90|60|67.5|75||39.8|||3.5|||5|||6.9|||12.5|||11.9|||37.7||||||||18|22.5|27||||1|1.5|2||||1.1|1.15|1.2|||||1.2|||4|9|14|0.16|0.17|0.18|||||27.4|||11.9|||53||0|1.5|2.9|30|32.5|35|5|7.5|10|1|3|7|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|12.5|15|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61713:75341"|"61713:2311990"
"H2"||"H"||2||46|||96|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|70|80|95||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||25|30|35||||0.5|0.75|1||||1.2|1.3|1.4|||||1.36|||1.4|3|4|0.19|0.2|0.21|||||30.7|||16.5|||48||0|1.5|2.9|35|37.5|40|10|12.5|15|6|10|16|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|15|17.5|20|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61713:75341"|"61713:2311991"
"H3"||"H"||3||96|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|85|90|95|60|67.5|75||44.3|||4.3|||5.9|||7.9|||13.7|||12.5|||40.7||||||||12|15|18||||0|0.25|0.5||||1.2|1.3|1.4|||||1.36|||1.4|3|4|0.1|0.11|0.12|||||23.9|||8.1|||48||0|1.5|2.9|20|25|30|0|2.5|5|0|0|3|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|5|7.5|10|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61713:75341"|"61713:2311992"
"H1"||"H"||1||0|||15|||||0|0|0|15|23|30|90|93|95|70|78|85|65|73|80|60|68|75||17.3|||0.1|||0.4|||1.2|||5|||10.6|||47.7||||||||30|35|40||||2|3|4||||1.2|1.3|1.4|||||1.38|||4|9|14|0.12|0.16|0.19|||||25.5|||16.3|||28||0|1.5|2.9|35|37.5|40|10|12.5|15|4|7|11|".24"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|15|20|25|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61714:75344"|"61714:157632"
"H2"||"H"||2||15|||66|||||0|0|0|45|53|60|50|65|80|45|60|75|45|58|70|40|53|65||6.8|||0.5|||0.7|||1.1|||2.2|||2.3|||50.7||||||||35|42.5|50||||0.5|1.25|2||||1.3|1.4|1.5|||||1.89|||1.4|3|4|0.1|0.13|0.15|||||15.2|||10.8|||12||3|4.5|5.9|35|42.5|50|15|20|25|2|7|15|".15"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|20|22.5|25|||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"61714:75344"|"61714:157633"
"H3"||"H"||3||66|||76||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"61714:75344"|"61714:157634"
"H1"||"H"||1||0|||15|||||0|0|0|15|23|30|90|93|95|70|78|85|65|73|80|60|68|75||17.3|||0.1|||0.4|||1.2|||5|||10.6|||47.7||||||||30|35|40||||2|3|4||||1.2|1.3|1.4|||||1.38|||4|9|14|0.12|0.16|0.19|||||25.5|||16.3|||28||0|1.5|2.9|35|37.5|40|10|12.5|15|4|7|11|".24"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|15|20|25|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61715:75349"|"61715:2317885"
"H2"||"H"||2||15|||66|||||0|0|0|45|53|60|50|65|80|45|60|75|45|58|70|40|53|65||6.8|||0.5|||0.7|||1.1|||2.2|||2.3|||50.7||||||||35|42.5|50||||0.5|1.25|2||||1.3|1.4|1.5|||||1.89|||1.4|3|4|0.1|0.13|0.15|||||15.2|||10.8|||12||3|4.5|5.9|35|42.5|50|15|20|25|2|7|15|".15"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|20|22.5|25|||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"61715:75349"|"61715:2317886"
"H3"||"H"||3||66|||76||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"61715:75349"|"61715:2317887"
"H1"||"H"||1||0|||152||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"61716:75352"|"61716:3925540"
"R"||"R"||||0|||152||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"61717:75353"|"61717:3926307"
"H1"||"H"||1||0|||5|||||0|3|5|15|23|30|80|87.5|95|70|77.5|85|60|67.5|75|45|52.5|60||42.1|||3.9|||5.5|||7.4|||13.1|||12.2|||37.9||||||||15|20|25||||4|6|8||||1|1.05|1.1|||||1.11|||14|28|42|0.11|0.13|0.14|||||22.5|||11|||31||0|1.5|2.9|20|25|30|5|7.5|10|0|1|3|".17"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|10|20|30|||||||4.5|5.3|6|||||||||||||||||||||||||||||||||"61717:75354"|"61717:157661"
"H2"||"H"||2||5|||38|||||0|3|5|5|18|30|75|85|95|65|80|95|55|70|85|45|57.5|70||42.1|||3.9|||5.5|||7.4|||13.1|||12.2|||37.9||||||||15|20|25||||1|3|5||||1|1.1|1.2|||||1.16|||14|28|42|0.11|0.13|0.14|||||22|||9.5|||34||0|1.5|2.9|20|25|30|5|7.5|10|0|1|5|".17"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|5|15|20|||||||4.5|5.3|6|||||||||||||||||||||||||||||||||"61717:75354"|"61717:157662"
"H3"||"H"||3||38|||48||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"61717:75354"|"61717:157663"
"H1"||"H"||1||0|||10|||||25|38|50|0|20|40|50|62.5|75|35|52.5|70|30|50|70|25|37.5|50||26.1|||2.1|||3|||4.2|||8.2|||8.6|||52.4||||||||18|21.5|25||||1|2.5|4||||1.35|1.43|1.5|||||1.63|||4|9|14|0.07|0.09|0.1|||||10.4|||5.4|||||0|1.5|2.9|25|27.5|30|0|2.5|5|0|0|0|".15"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|10|15|20|||||||5.6|6.1|6.5|||||||||||||||||||||||||||||||||"61749:75476"|"61749:2313076"
"H2"||"H"||2||10|||41|||||0|23|45|50|63|75|45|60|75|35|50|65|30|45|60|25|37.5|50||17.8|||0.2|||0.4|||1.2|||5.1|||10.9|||52.2||||||||27|30|35||||0.5|1.25|2||||1.3|1.35|1.4||||||||1.4|3|4|0.04|0.06|0.07|||||4.1|||2.3|||||3|4.5|5.9|35|37.5|40|15|17.5|20|0|2|6|".15"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|15|17.5|20|||||||5.6|6.1|6.5|||||||||||||||||||||||||||||||||"61749:75476"|"61749:2313077"
"H3"||"H"||3||41|||51||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"61749:75476"|"61749:2313078"
"R"||"R"||||0|||152||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"61749:75477"|"61749:3926311"
