1248|"10784"|"61671"|"112228"
1158|"10782"|"61672"|"111947"
1158|"10784"|"61672"|"112229"
17000|"10782"|"61673"|"112025"
17000|"10784"|"61673"|"112252"
13175|"10782"|"61674"|"112026"
13175|"10784"|"61674"|"112253"
5030|"10782"|"61675"|"112027"
5030|"10783"|"61675"|"112167"
1931|"10782"|"61676"|"112028"
1931|"10783"|"61676"|"112168"
354|"10782"|"61677"|"112029"
354|"10783"|"61677"|"112169"
416|"10782"|"61678"|"112030"
416|"10783"|"61678"|"112170"
633|"10782"|"61679"|"112031"
633|"10783"|"61679"|"112171"
1089|"10782"|"61680"|"112032"
1089|"10783"|"61680"|"112172"
392|"10782"|"61681"|"112033"
392|"10783"|"61681"|"112173"
409|"10782"|"61682"|"112034"
409|"10783"|"61682"|"112174"
405|"10782"|"61683"|"112035"
405|"10783"|"61683"|"112175"
3366|"10782"|"61684"|"112036"
3366|"10783"|"61684"|"112176"
506|"10782"|"61685"|"112037"
506|"10783"|"61685"|"112177"
1870|"10782"|"61686"|"112038"
1870|"10784"|"61686"|"112254"
3187|"10782"|"61687"|"112039"
3187|"10784"|"61687"|"112255"
799|"10782"|"61688"|"112040"
799|"10784"|"61688"|"112256"
1107|"10782"|"61689"|"112041"
1107|"10784"|"61689"|"112257"
8819|"10782"|"61690"|"111948"
8819|"10784"|"61690"|"112230"
13795|"10782"|"61691"|"111949"
13795|"10784"|"61691"|"112231"
3434|"10782"|"61692"|"112042"
3434|"10783"|"61692"|"112178"
3442|"10782"|"61693"|"112043"
3442|"10783"|"61693"|"112179"
2120|"10782"|"61694"|"112044"
2120|"10783"|"61694"|"112180"
631|"10782"|"61695"|"112045"
631|"10783"|"61695"|"112181"
460|"10782"|"61696"|"112046"
460|"10783"|"61696"|"112182"
1461|"10782"|"61697"|"112047"
1461|"10784"|"61697"|"112258"
1805|"10782"|"61698"|"112048"
1805|"10783"|"61698"|"112183"
2697|"10782"|"61699"|"112049"
2697|"10783"|"61699"|"112184"
351|"10782"|"61700"|"112050"
351|"10783"|"61700"|"112185"
2422|"10782"|"61701"|"112051"
2422|"10784"|"61701"|"112259"
657|"10782"|"61702"|"112052"
657|"10784"|"61702"|"112260"
1311|"10782"|"61703"|"112053"
1311|"10784"|"61703"|"112261"
1094|"10784"|"61597"|"112236"
1727|"10783"|"61619"|"112135"
535|"10782"|"61605"|"111966"
1526|"10783"|"61620"|"112136"
535|"10783"|"61605"|"112123"
2220|"10783"|"61621"|"112137"
